prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
classify question first,News article label,"What label best describes this news article?
{{text}}",promptsource,English,closed-ended question,Informational/Identification,news,news
classify with choices question first,News classification,"Is this a piece of news regarding {{""world politics, sports, business, or science and technology""}}?
{{text}}",promptsource,English,closed-ended question,Informational/Identification,news,news
recommend,Recommend article,"Would you recommend the following article to a {{""politician""}}, an {{""athlete""}}, a {{""business executive""}}, or a {{""scientist""}}?

{{ text }}",promptsource,English,closed-ended question,Informational/Identification,news,news
which section choices,Newspaper section inference,"{{text}}

Which of the following sections of a newspaper would this article likely appear in? {{""World News""}}, {{""Sports""}}, {{""Business""}}, or {{""Science and Technology""}}?",promptsource,English,reading comprehension,Informational/Identification,news,news
which section,Newspaper section inference,"{{text}}

Which section of a newspaper would this article likely appear in?",promptsource,English,closed-ended question,Informational/Identification,news,news
classify with choices,News classification,"{{text}}
Is this a piece of news regarding {{""world politics, sports, business, or science and technology""}}?",promptsource,English,closed-ended question,Informational/Identification,news,news
classify,News article label,"{{text}}
What label best describes this news article?",promptsource,English,closed-ended question,Informational/Identification,news,news
User recommend this product,Recommend product,"Based on this review, would the user recommend this product?
===
Review: {{content}}
Answer:",promptsource,English,closed-ended question,Writing/Expression,product review,retail
Is this product review positive,Sentiment analysis,"Is this product review positive?
Title: {{title}}
Review: {{content}}
Answer:",promptsource,English,closed-ended question,Informational/Identification,product review,retail
Is this review negative,Sentiment analysis,"Title: {{title}}
Review: {{content}}
Is this product review negative?",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,retail
convey negative or positive sentiment,Sentiment analysis,"Title: {{title}}
Review: {{content}}
Does this product review convey a negative or positive sentiment?",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,retail
negative or positive tone,Sentiment analysis,"Is there a negative or positive tone to this product review?
===
Title: {{title}}
Review: {{content}}
Answer:",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,retail
user satisfied,Sentiment analysis,"Here is a review left by a customer on a product. Would you say he was {{answer_choices[1]}} or {{answer_choices[0]}}?
Title: {{title}}
Review: {{content}}",promptsource,English,closed-ended question,Informational/Identification,sentiment,retail
would you buy,Sentiment analysis,"You are considering whether to buy a product. You look at the reviews. Would the following review {{answer_choices[0]}} or {{answer_choices[1]}} the chances of you buying the product?
Review title: {{title}}
Product review: {{content}}",promptsource,English,closed-ended question,Informational/Identification,product reviews,retail
generate title,Write a review title,"Write a title for the review below:
===
{{review_body}}",promptsource,English,writing title,Writing/Expression,review,all
prompt title to star,Rate product by review title,"Rate the product by the number of stars based on the review title below: (1 being the lowest and 5 the highest)
===
{{review_title}}",promptsource,English,rating,Rating/Evaluation,product rating,retail
prompt review to star,Rate the product,"Rate the product by the number of stars based on the review body below: (1 being the lowest and 5 the highest)
===
{{review_body}}",promptsource,English,rating,Rating/Evaluation,product review,retail
prompt body title to star,Rate a product,"Rate the product by the number of stars based on the review below: (1 being the lowest and 5 the highest)
===
{{review_title}}. {{review_body}}",promptsource,English,rating,Rating/Evaluation,product review,retail
prompt review to category,Guess the product category,"Guess the product category from the following review:
===
{{review_body}}",promptsource,English,closed-ended question,Informational/Identification,product category,retail
prompt body title category to star,Rate a product,"Rate the product by the number of stars based on the review below: (1 being the lowest and 5 the highest)
===
{{review_title}}. {{review_body}} Product category: {{product_category}}",promptsource,English,rating,Rating/Evaluation,product review,retail
prompt title to product category,Guess the product category,"Guess the product category from the review title below:
===
{{review_title}}",promptsource,English,closed-ended question,Informational/Identification,product category,retail
Generate review headline based on review body,Sentiment analysis,"Give a short sentence describing the following product review:
{{review_body}}",promptsource,English,writing report,Writing/Expression,product review,retail
Generate review based on rating and category,Generate a review,Generate a {{star_rating}}-star review (1 being lowest and 5 being highest) about this product {{product_title}}.,promptsource,English,writing review,Writing/Expression,product review,retail
Generate review headline based on rating,Generate a review headline,"Generate a {{star_rating}}-star review headline (1 being lowest and 5 being highest) about this product:
{{product_title}}",promptsource,English,writing headline,Writing/Expression,product review,retail
is question ambiguous,Generate a better question,"Here's a question-answer pair: {{question}} {{selected_answer}}.
Is the question ambiguous? If so, generate a better question suitable for the answer. Otherwise, output the same question.",promptsource,English,question generation,Writing/Expression,question generation,education
answer prediction all answers interrogative,Possible answers,"What are the possible answers to the question ""{{question}}""? Use semi-colons to separate your answers if you have multiple answers.",promptsource,English,open-ended question,Writing/Expression,multiple choice,education
answer prediction all answers affirmative,Generate answers,"Given the question ""{{question}}"", generate all the possible answers, separated by semi-colon.",promptsource,English,open-ended question,Writing/Expression,question answering,education
perform question disambiguation,Question disambiguation,"Question: {{question}}
Answer: {{selected_answer}}

Knowing that the question can be ambiguous, can you perform question disambiguation by generating a question such that ""{{selected_answer}}"" is a more suitable answer? If you deem that the question is not ambiguous, generate the same question given above.",promptsource,English,question disambiguation,Writing/Expression,question disambiguation,education
premise judgement,Infer from premise,"Using only the above description and what you know about the world, ""{{hypothesis}}"" is definitely correct, incorrect, or inconclusive?",promptsource,English,closed-ended question,Reasoning/Inference,science,education
premise judgement,Infer from premise,"Given {{premise}} Should we assume that ""{{hypothesis}}"" is true? Yes, no, or maybe?",promptsource,English,closed-ended question,Reasoning/Inference,logic,education
does it follow that,Infer from premise,"Given that {{premise}} Does it follow that {{hypothesis}} Yes, no, or maybe?",promptsource,English,reading comprehension,Reasoning/Inference,logic,education
based on the previous passage,Infer from premise,"{{premise}} Based on the previous passage, is it true that ""{{hypothesis}}""? Yes, no, or maybe?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
justified in saying,Infer from premise,"{{premise}} Are we justified in saying that ""{{hypothesis}}""? Yes, no, or maybe?",promptsource,English,reading comprehension,Reasoning/Justification,philosophy,education
Logic inference,Infer from premise,"Take the following as truth: {{premise}}
Then the following statement: ""{{hypothesis}}"" is {{""true""}}, {{""false""}}, or {{""inconclusive""}}?",promptsource,English,reading comprehension,Reasoning/Inference,logic,education
Logic inference,Logic inference,"Given that {{premise}} Therefore, it must be true that ""{{hypothesis}}""? Yes, no, or maybe?",promptsource,English,closed-ended question,Reasoning/Inference,logic,education
Infer from premise,Infer from premise,"Suppose {{premise}} Can we infer that ""{{hypothesis}}""? Yes, no, or maybe?",promptsource,English,closed-ended question,Reasoning/Inference,logic,education
guaranteed/possible/impossible,Infer from premise,"Assume it is true that {{premise}}

Therefore, ""{{hypothesis}}"" is {{""guaranteed""}}, {{""possible""}}, or {{""impossible""}}?",promptsource,English,logical reasoning,Reasoning/Inference,logic,education
always/sometimes/never,Infer from premise,"Suppose it's true that {{premise}} Then, is ""{{hypothesis}}"" {{""always""}}, {{""sometimes""}}, or {{""never""}} true?",promptsource,English,logical reasoning,Reasoning/Inference,logic,education
does this imply,Infer from premise,"{{premise}}

Question: Does this imply that ""{{hypothesis}}""? Yes, no, or maybe?",promptsource,English,reading comprehension,Reasoning/Inference,logic,education
consider always/sometimes/never,Infer from premise,"{{premise}}

Keeping in mind the above text, consider: {{hypothesis}} Is this {{""always""}}, {{""sometimes""}}, or {{""never""}} correct?",promptsource,English,reading comprehension,Reasoning/Evaluation,logic,education
claim true/false/inconclusive,Infer from premise,"{{premise}} Based on that information, is the claim: ""{{hypothesis}}"" {{""true""}}, {{""false""}}, or {{""inconclusive""}}?",promptsource,English,reading comprehension,Informational/Identification,fact checking,education
guaranteed true,Infer from premise,"Given {{premise}} Is it guaranteed true that ""{{hypothesis}}""? Yes, no, or maybe?",promptsource,English,closed-ended question,Reasoning/Inference,logic,education
categorize rating using review,recommend from review,"Given this review: ""{{review}}""
Would you recommend this app to a friend? {{answer_choices[0]}}, {{answer_choices[1]}}, {{answer_choices[2]}}, {{answer_choices[3]}}, or {{answer_choices[4]}}?",promptsource,English,closed-ended question,Informational/Identification,recommendation,retail
generate review,Generate a review,Generate a {{star}}-star review (1 being lowest and 5 being highest) about an app with package {{package_name}}.,promptsource,English,writing review,Writing/Expression,app review,retail
convert to star rating,Sentiment analysis,"What would be the ★-rating of this review (★ being the lowest and ★★★★★ being the highest)? ""{{review}}""",promptsource,English,rating,Rating/Evaluation,rating,retail
convert to rating,Rate a review,"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""{{review}}""",promptsource,English,rating,Rating/Evaluation,sentiment analysis,retail
generate rational and correct choice,Choose the correct option,"You will now be given a question and a set of options. Choose the correct option and provide a rationale for the same.

Question:
{{question}}

Options:

- {{options[i].replace(')', ') ')}}",promptsource,English,multiple choice,Informational/Identification,multiple choice,all
generate rationale,Rationale question,"Answer the given question by providing the correct rationale:

{{question}}

   {{options[i]}}",promptsource,English,multiple choice,Reasoning/Justification,reasoning,all
answer quiz,Math test,"{{question}}

The above question was asked in a Math test. Given the following options, can you choose the correct one?


- {{options[i]}}",promptsource,English,multiple choice,Informational/Identification,math,education
answer question with rationale,Question answer,"Question:
{{question}}

Options:

- {{options[i]}}


This is how I solved the above question:",promptsource,English,multiple choice,Writing/Expression,math,education
choose hypothesis options,Bayes rule,"We know that:

{{ observation_1 }},

and:

{{ observation_2 }}

Which one is more likely?

The first option:

{{ answer_choices[0] }},

or the second option:

{{ answer_choices[1] }}?",promptsource,English,multiple choice,Reasoning/Inference,probability,all
choose hypothesis believable,Believability,"You know the following:

{{ observation_1 }} {{ observation_2 }}

Which one is more believable?

- {{ answer_choices[0] }}
- {{ answer_choices[1] }}",promptsource,English,closed-ended question,Reasoning/Evaluation,science,all
choose hypothesis,Belief update,"{{ observation_1 }} {{ observation_2 }}

Would you rather believe that:

{{ answer_choices[0] }},

or:

{{ answer_choices[1] }}?",promptsource,English,belief elicitation,Reasoning/Inference,science,all
choose hypothesis desc,better answer judgement,"Which of the following better fits the description?

Is it that:

{{ answer_choices[0] }},

or rather:

{{ answer_choices[1] }}?

Description:

{{ observation_1 }} {{ observation_2 }}",promptsource,English,closed-ended question,Informational/Identification,classification,all
choose hypothesis likely,Causal inference,"Which version is more likely?

The first one:

{{ answer_choices[0] }},

or the second one:

{{ answer_choices[1] }}?

Assuming that:

{{ observation_1 }} {{ observation_2 }}",promptsource,English,reading comprehension,Informational/Identification,probability,all
positive pairs,Question sentence pairs,"Question: {{question}}
Sentence: {{sentence}}
Are the question and the sentence positive pairs where positive pairs means that the sentence answers the question?",promptsource,English,closed-ended question,Informational/Identification,question answering,all
question from sentence,Question from sentence,"What is a question that someone might ask that the following sentence can answer?

 {{sentence}}",promptsource,English,question generation,Writing/Expression,question answering,all
write question,Write a question,Write a question based on this sentence: {{sentence}},promptsource,English,writing question,Writing/Expression,question generation,all
answer infer question,Infer from question,"Can the answer ""{{sentence}}"" be inferred from the question ""{{question}}"" ?",promptsource,English,closed-ended question,Reasoning/Inference,reading comprehension,all
Does sentence answer question,Question answer,"Does this sentence ""{{sentence}}""  answer this question ""{{question}}"" ?",promptsource,English,closed-ended question,Informational/Identification,reading comprehension,all
answer question with a sentence,Generate a one sentence answer,Generate a one-sentence answer to the following question: {{question}}?,promptsource,English,writing report,Writing/Expression,question answering,all
give me a full sentence answer,Answer a question,Given the following question: {{question}}? Can you give me a full sentence answer?,promptsource,English,writing report,Writing/Expression,question answering,all
write a question,Question from sentence,"Here is a sentence:

 {{sentence}}

Write a question to which this sentence is an answer.",promptsource,English,writing question,Writing/Expression,question answering,all
right answer,Sentence matching,"Does the following sentence ""{{sentence}}"" seem a right answer for the following question : {{question}}",promptsource,English,closed-ended question,Informational/Identification,reading comprehension,all
rate binary,Simplification questions,"First sentence: {{original}}

Second sentence: {{simplification}}

{{questions[aspect]}}. Please answer Yes or No.",promptsource,English,closed-ended question,Informational/Identification,reading comprehension,education
rate regression simplicity,Simplification scoring,"First sentence: {{original}}

Second sentence: {{simplification}}

I am scoring these simplification exercises. How easier to read is the second sentence on a scale from 0 (harder to read) to 100 (easier to read)?",promptsource,English,rating,Scoring/Evaluation,reading comprehension,education
rate regression,Simplification rating,"First sentence: {{original}}

Second sentence: {{simplification}}

Rate the following statement from 0 (strongly disagree) to 100 (strongly agree): {{statements[aspect]}}",promptsource,English,rating,Evaluation/Judgment,simplification,education
help page topic,Help page,"Which help page can be provided to provide information regarding this query?
Query: {{text}}",promptsource,English,closed-ended question,Informational/Identification,help,all
direct to which department,Query to department,"To which department in the bank can this query be directed?
Query: {{text}}",promptsource,English,closed-ended question,Informational/Identification,banking,banking
choose the correct department,Intent classification,"To which of the following departments in the bank can the given query be directed?
Query: {{text}} Departments:

- {{intent}}",promptsource,English,closed-ended question,Informational/Identification,banking,banking
rephrase as banking term,Summarise query,"Summarise the following query in the form of key banking terms:
{{text}}",promptsource,English,summarization,Writing/Expression,banking,banking
choose the correct intent,Intent classification,"Which of the following intents best represents this banking query?
Text: {{text}}
Intents:

- {{intent}}",promptsource,English,intent classification,Informational/Identification,banking,banking
what is intent,Intent of banking query,"What is the intent of this banking query?
{{text}}",promptsource,English,closed-ended question,Informational/Identification,banking,banking
generate subject for text,Generate email subject,"Generate the subject for an email containing the following text:
{{text}}",promptsource,English,writing subject,Writing/Expression,email,all
"Write a bill: (title, summary >text)",Write a bill,"Given the title: ""{{title}}"" and the summary of a bill: {{summary}}.
Write this bill based on the title and summary.",promptsource,English,writing report,Writing/Expression,writing,law
Summarize this bill in one sentence: (text > title),Summarize a bill,"Given a state bill: {{text}}.
Please write the title of this bill in one sentence.",promptsource,English,writing report,Writing/Expression,politics,government
Write a bill: (summary > text),Write a bill,"Given a summary of a bill: {{summary}}.
Write this bill.",promptsource,English,writing bill,Writing/Expression,politics,law
Write a bill: (title > text),Write a bill,"Given a title: ""{{title}}"" of a bill.
Write this bill based on this title.",promptsource,English,writing report,Writing/Expression,writing,law
Summarize this bill: (text > summary),Summarize a bill,"Given this bill: {{text}}.
Write a summary of this bill.",promptsource,English,writing report,Writing/Expression,politics,law
Generate title from summary,Generate title from summary,"Given a summary: {{summary}}, we want to generate a title from this summary.",promptsource,English,writing title,Writing/Expression,summarization,news
Summarize: (text  > summary ),Summarize a bill,Summarize this US bill: {{text}},promptsource,English,summarization,Writing/Expression,summarization,government
Summarize: (summary  > title),Write a title,"Given a summary of a bill: {{summary}}.
Please write the title of this summary.",promptsource,English,writing report,Writing/Expression,politics,government
what country,Search query geolocation,"This search query talks about the coronavirus and was published on {{Date}}. In what country was it issued?
{{Query}}",promptsource,English,reading comprehension,Informational/Identification,geography,all
is implicit or explicit,Intent Implicit Explicit,"The user is searching for coronavirus results on Bing.com. Is the intent implicit or explicit?
{{Query}}",promptsource,English,closed-ended question,Informational/Identification,intent,education
is explicit country date,Implicit or explicit intent,"This search query about coronavirus was issued in {{Country}} on {{Date}}. Is the intent implicit or explicit?
{{Query}}",promptsource,English,closed-ended question,Informational/Identification,search intent,medical
is implicit query,Covid 19 query,"Does this search engine query have an indirect relation to Covid-19?
{{Query}}",promptsource,English,closed-ended question,Informational/Identification,covid,medical
is explicit query,Bing coronavirus,"Does this search query on Bing.com talk about the coronavirus explicitly?
{{Query}}",promptsource,English,closed-ended question,Informational/Identification,coronavirus,medical
similarity with question first,Similarity scale,"How similar are the following two sentences? {{sentence1}} {{sentence2}}

Give the answer on a scale from 0 - 4, where 0 is ""not similar at all"" and 4 is ""means the same thing"".",promptsource,English,similarity,Informational/Identification,similarity,all
compare one sentence to another,Similarity scale,"On a scale from 0 to 4, where 0 is ""not similar"" and 4 is ""very similar"", how similar is the sentence ""{{sentence1}}"" to the sentence {{sentence2}}""?",promptsource,English,similarity,Informational/Identification,similarity,all
similarity with sentences first,Similarity score,"Sentence 1: {{sentence1}}
Sentence 2: {{sentence2}}

From 0 to 4 (0 = ""no meaning overlap"" and 4 = ""means the same thing""), how similar are the two sentences?",promptsource,English,similarity,Informational/Identification,semantic similarity,all
resemblance,Sentence similarity,"{{sentence1}} {{sentence2}}

On a scale from 0 to 4, where 0 is ""no meaning overlap"" and 4 is ""means the same thing"", how closely does the first sentence resemble the second one?",promptsource,English,semantic similarity,Informational/Identification,semantic similarity,all
same thing scoring,Sentence similarity,"Do the following sentences say the same thing? {{sentence1}} {{sentence2}}

Return your answer on a scale from 0 to 4, where 0 is ""not similar"" and 5 is ""very similar"".",promptsource,English,similarity,Informational/Identification,paraphrasing,all
same info binary,Same information,"(1) {{sentence1}}
(2) {{sentence2}}

Do these two sentences convey the same information?",promptsource,English,closed-ended question,Informational/Identification,paraphrase,all
rate with sentences first,Textual similarity,"{{sentence1}} {{sentence2}}

Rate the textual similarity of these two sentences on a scale of {{""0.0""}} and {{""4.0""}}, where 0 is ""no relation"" and 4 is ""equivalent"".",promptsource,English,textual similarity,Judgment/Evaluation,textual similarity,all
same meaning binary,Same meaning,"Please check if these have the same meaning. Answer ""yes"" if they do, otherwise ""no"". {{sentence1}} {{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,paraphrase,all
similarity binary,Similarity sentences,"Do ""{{sentence1}}"" and ""{{sentence2}}"" seem similar to you ?",promptsource,English,closed-ended question,Informational/Identification,similarity,all
rate with question first,Similarity rating,"Rate the similarity of these two sentences: ({{""0.0""}} being the lowest and {{""4.0""}} the highest) ""{{sentence1}}"" and ""{{sentence2}}""",promptsource,English,similarity rating,Rating/Evaluation,similarity,all
same thing binary,Sentence similarity,"Do you think ""{{sentence1}}"" and ""{{sentence2}}"" express the same thing?",promptsource,English,closed-ended question,Informational/Identification,paraphrase,all
multi choice,Book genre,"Given the title: {{title}}, which of the following genres is the book?
(a) {{ answer_choices[0] }}
(b) {{ answer_choices[1] }}",promptsource,English,closed-ended question,Informational/Identification,book genre,retail
classify,Book genre,"The genre of the book ""{{title}}"" is",promptsource,English,closed-ended question,Informational/Identification,literature,literature
guess last utterance,Respond to conversation,"Given the below conversation between two people, what would the listener say?

A: {{previous_utterance[0]}}

B: {{previous_utterance[1]}}

A: {{message_f}}

B: {{message_g}}

A: {{free_messages[-1]}}

B:",promptsource,English,dialogue,Writing/Expression,conversation,all
guess correct order,Order of utterances,"Two people are having a conversation. Are the utterances in the correct order?

Your answer should be either ""Yes"" or ""No"".

A: {{previous_utterance[0]}}

B: {{previous_utterance[1]}}

A: {{message_f}}

B: {{message_g}}",promptsource,English,closed-ended question,Informational/Identification,conversation,all
guess first utterance,Fill in the blank,"Two people are talking to each other.  What do you think Person A said in the beginning?

Person B: {{previous_utterance[1]}}

Person A: {{message_f}}

Person B: {{message_g}}",promptsource,English,dialogue,Writing/Expression,dialogue,all
Given Story Guess Author,Guess the author,"{{ content }}

Guess the author for the above story.",promptsource,English,guessing author,Writing/Expression,literature,literature
Given Story Write Title,Write a title,"{{ content }}

Write a title for the above story.",promptsource,English,writing title,Writing/Expression,story title,news
Use title and summary to generate news,News article content,"What could be the content of a news article with the following title and summary?

Title: {{title}}

Summary: {{description}}",promptsource,English,writing report,Writing/Expression,news,news
Generate description using text,Summarize text,"{{ text }}

Give a brief description of the above text.",promptsource,English,writing report,Writing/Expression,summarization,all
Generate title using text,Summarize text,"{{ text }}

What title would you choose for the text above?",promptsource,English,writing title,Writing/Expression,title,all
Use title and description to generate text,Write a news article,"Suggest the content of a news article entitled:

{{ title }},

regarding:

{{ description }}",promptsource,English,writing report,Writing/Expression,news,news
Write brief summary,Summarize text,"Write a brief summary of the text below:

{{ text }}",promptsource,English,writing summary,Writing/Expression,summarization,all
Use title and description to generate news article,Write a news article,"Use the description below to write a news article entitled:
{{ title }}.

Description: {{ description }}",promptsource,English,writing news article,Writing/Expression,news,news
Choose a title for text,Choose a title,"Choose a title for the text below:

{{ text }}",promptsource,English,closed-ended question,Writing/Expression,title,all
Summarize text using description,Summarize news,"{{ text }}

Summarize the essential ideas of the above piece of news.",promptsource,English,summarization,Writing/Expression,summarization,news
Generate title using news text,News title,"{{ text }}

What title suits best the above piece of news?",promptsource,English,writing title,Writing/Expression,news,news
Summarize ideas from news,Summarize news,"Summarize the essential ideas of the following piece of news:

{{ text }}",promptsource,English,summarization,Writing/Expression,summarization,news
Use title and description to generate news,Write a news article,"Write a piece of news expanding the following ideas:

{{ description }},

entitled:

{{ title }}",promptsource,English,writing news,Writing/Expression,news,news
Give text a title,Give a title,"Give this text a title:

{{ text }}",promptsource,English,writing title,Writing/Expression,summarization,all
Given brief description of text,Summarize text,"Give a brief description of the following text:

{{ text }}",promptsource,English,writing report,Writing/Expression,summarization,all
Text summarized using description,Summarize text,"{{ text }}

The above text can be summarized as follows:",promptsource,English,summarization,Writing/Expression,summarization,all
question declarative,Question to declarative,"Convert this question to a sentence declarative sentence asserting an affirmative answer:

{{question_X}}",promptsource,English,writing report,Writing/Expression,question answering,all
goldstandard2 judgement,Interpret Y answer,"Given the question-answer pair of X and Y in the context of {{context}}, which of the following answers is Y implying: ""{{""Yes""}}"", ""{{""No""}}"", ""{{""In the middle, neither yes nor no""}}"", ""{{""Probably yes / sometimes yes""}}"", ""{{""Probably no""}}"", ""{{""Yes, subject to some conditions""}}"", ""{{""Other""}}"" or ""{{""I am not sure how X will interpret Y’s answer""}}"" ?

X: {{question_X}}

Y: {{answer_Y}}",promptsource,English,closed-ended question,Interpretation/Understanding,reading comprehension,all
possible qn,Question generation,"What is a possible question X could ask Y given the context of {{context}} that would cause Y to answer ""{{answer_Y}}""?",promptsource,English,writing question,Writing/Expression,question generation,all
judgement,Implication inference,"Given the question-answer pair of X and Y in the context of {{context}}, what answer is Y implying?

X: {{question_X}}

Y: {{answer_Y}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
first evidence and claim itemization,Claim evidence relation,"Here's a statement and accompanying evidence. Does the evidence {{answer_choices[0]}}, {{answer_choices[1]}}, or {{answer_choices[2]}} the statement?

Statement: {{claim}}

Evidence: {{evidences[0][""evidence""].strip(""."").strip('""')}}.",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
fifth evidence and claim itemization,Climate change claim evaluation,"Following is a statement made on climate change.
Statement: {{claim}}

If I provide the evidence ""{{evidences[4][""evidence""].strip(""."").strip('""')}}"",  will it {{answer_choices[0]}}, {{answer_choices[1]}}, or {{answer_choices[2]}} the claim?",promptsource,English,reading comprehension,Informational/Identification,climate change,science
fourth evidence and claim itemization,Claim evidence relationship,"Does the statement ""{{evidences[3][""evidence""].strip(""."").strip('""')}}"" {{answer_choices[0]}}, {{answer_choices[1]}}, or {{answer_choices[2]}} the claim that ""{{claim}}'",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
third evidence and claim itemization,Claim Evidence Reasoning,"While searching about climate change, I came across a claim that says ""{{claim}}"". Should I use the following evidence to {{answer_choices[0]}} or {{answer_choices[1]}} the claim? If there is not enough information, say ""not enough information"".
Evidence: {{evidences[2][""evidence""].strip(""."").strip('""')}}.",promptsource,English,reading comprehension,Informational/Identification,climate change,science
second evidence and claim itemization,Evaluate evidence,"If I argue that ""{{claim}}"" would the following evidence {{answer_choices[0]}}, {{answer_choices[1]}}, or {{answer_choices[2]}} the claim?
Evidence: {{evidences[1][""evidence""].strip(""."").strip('""')}}.",promptsource,English,reading comprehension,Informational/Identification,argumentation,all
third evidence claim pair,Claim evidence matching,"Considering the following claim:
{{claim}}.
Does the following statement {{answer_choices[0]}}, {{answer_choices[1]}}, or {{answer_choices[2]}} the claim?
{{evidences[2][""evidence""].strip(""."").strip('""')}}.",promptsource,English,reading comprehension,Informational/Identification,fact checking,all
write an outline,Write an article outline,"Can you write an outline of the following article in a few points?

Article: {{article}}",promptsource,English,writing report,Writing/Expression,summarization,all
news summary,Summarise article,"Summarise the article:

{{article}}",promptsource,English,summarization,Writing/Expression,summarization,news
